ds,EBE,TOL,BEN,NMHC,TCH,CO,SO_2,PM10,O_3,NO_2,total
2001-01-01,3.419469567122667,15.46273048421611,5.452973906993866,0.2071130428511811,1.5336956519665925,0.9984000007743421,18.896399978140128,19.58227830555128,22.275356562241264,47.760278253969936,135.58869575382738
2001-01-02,2.4841332131605087,10.487014393649552,3.2745023862747282,0.180650080274641,1.393595502809001,0.7126564990017521,16.783194196358156,17.443587464849983,36.675320985037864,45.298386914580824,134.733041635997
2001-01-03,3.3312980759984407,14.656907096123083,4.3131089851451225,0.23295673023527244,1.464791667384979,0.871185897407719,18.297259609286602,24.973341380938507,23.55879803957083,53.401426400893776,145.10107388298434
2001-01-04,3.1643349337510958,13.324294868856668,3.9614983911936483,0.23302884580483893,1.4589022488739245,0.8488461539620916,17.90780450021609,25.455368649692108,25.267836544758236,50.055048148601486,141.6769632857102
2001-01-05,5.354447127200472,23.880032076476475,7.316041697127123,0.3263141009523772,1.6476282071417723,1.1970673063650537,18.446490362668648,26.891714739684875,11.781987203619419,51.62929487992556,148.4710177011618
2001-01-06,2.6124919892694707,10.974038436913338,3.5273076824557323,0.14406249994853842,1.3418108956553998,0.7566666652758917,16.911105810067593,11.145192311837887,29.976554496548115,43.12770840640251,120.51693919437449
2001-01-07,2.6316666793651304,11.150528870045374,3.7316666696316156,0.13205929488266024,1.3610176264475553,0.788221153502281,19.402147468083943,13.060064080625008,24.684743567537037,49.26604968615067,126.20816509627127
2001-01-08,5.35372595820958,24.166009706564438,7.459270784703012,0.2984214745617161,1.6679246773322423,1.2576842967820807,28.665801340952896,41.12416669095938,18.992588120966385,68.44512830693752,197.43072135796928
2001-01-09,6.5098557607867775,30.80463941815572,8.662059317044436,0.2884695504803974,1.668733974202321,1.3412980784972508,31.023349317984703,41.25967148404855,6.743750011118559,69.10746796314533,197.40929487546404
2001-01-10,7.730280438915659,34.66847755205937,10.071674672313607,0.3655368575635246,1.8093830168438263,1.5312980759459047,31.712099368755634,43.735881379781624,7.945320513768074,59.893605798482895,199.46355767443015
2001-01-11,4.456418258770823,19.765176238921974,5.707628199018729,0.2563381410153128,1.5715384588409693,1.021346152634718,21.245304485926262,21.77091341952865,17.586153847666885,56.844310882381905,150.22512808470623
2001-01-12,5.195600959472358,23.76765222293444,7.176963148065484,0.21583333295226714,1.4568910216673827,1.2904807705885897,28.51880613580728,25.575480772134586,13.626033623440144,67.77491989196875,174.59866187903128
2001-01-13,5.151963150749604,22.772932729659935,7.285809321567799,0.24949519255329874,1.5638541624141045,1.4514102564455988,34.27708335182606,39.265737147285385,12.198814122531658,69.06825317404208,193.28535260907552
2001-01-14,5.958084938522333,26.067107434456165,8.75072917394722,0.35362980862518245,1.7684455081247366,1.7039102556613774,34.57041666752253,41.36397429689383,12.042291666643742,66.02041665407327,198.5990064044704
2001-01-15,5.457115377944249,24.119847691211945,7.0943429587552185,0.2888621779230351,1.6902804473080697,1.263477561207345,26.340200286645157,37.75086548446845,9.312612179953318,55.558854122956596,168.87645828837339
2001-01-16,3.722972749135433,15.491722759910118,4.848653865548281,0.22504006536790905,1.4674759617027564,0.9354326909479613,19.558733943945324,23.44421473947855,17.683221174738346,49.39275644796017,136.77022439873485
2001-01-17,4.213517649003711,17.451955090109738,5.242331743646318,0.23288461538509295,1.4685176302416203,0.9671474340527008,20.012259611716637,25.828814074397087,20.274375011905647,51.36509619882474,147.0568990592833
2001-01-18,3.3367227628253975,14.169198754506233,4.06645032356326,0.23456730845814136,1.5157612210664995,0.9416746796490864,19.517772417037914,20.271778874672375,19.13123399363114,56.33175499011309,139.51691532552314
2001-01-19,4.1443349205626125,16.970504825791487,4.99464745234507,0.2516105762139583,1.4972435924678276,1.2442227553050869,27.452411856406773,30.289535290537735,16.636730757088234,63.21241985223232,166.6936618789511
2001-01-20,5.839366989735609,26.08201918645929,7.497019238244647,0.3534375005610621,1.7686778838053727,1.6933974375088627,36.08020832294073,49.134343058635025,12.488926288218071,72.30448716573225,213.2418830718409
2001-01-21,5.812700318220334,31.068333336176018,9.401073711052632,0.35662660174644906,1.771177878173498,1.9339423060226135,37.087115346621246,51.85686690532244,11.98322119945899,65.50629804722773,216.77735565002195
2001-01-22,6.52282050715234,32.482548039884136,8.963613809802784,0.38628205107465285,1.842716343414325,1.7536378167092035,35.1547035070566,56.29426276913056,7.926658659791335,69.12082532850596,220.4480688325219
2001-01-23,3.467115374831244,14.948966393438287,3.8679246754887013,0.24875000032644046,1.4779807689289253,0.8915464741488298,19.15834936958093,15.338886231757128,18.56257214721961,48.99686707212375,126.95895850784385
2001-01-24,2.858766025147186,12.087067366649325,3.0826682843602238,0.19399038460016102,1.395384612851418,0.777756407794256,19.37166666296812,16.571610588484848,25.57293266057968,44.80588936423644,126.71773235767165
2001-01-25,2.395272445650055,10.511586523447663,2.8161778980149674,0.1656490381693658,1.3784935945310655,0.7151282050211031,17.032692315486763,16.321706721606926,34.607724350996506,45.511498395353556,131.45592948827797
2001-01-26,2.9049839866944613,13.113189041327972,3.281258020287332,0.21008012881383104,1.4314262857421851,0.8477403840217261,14.67145032569384,15.581834920228292,26.677996806227245,49.942860575440605,128.66282047447748
2001-01-27,3.063197135089491,13.470256390097815,3.8162099172791035,0.20739583274982387,1.4147115323023918,0.9742147437153528,20.399326915924366,16.161017581438408,22.7570031950107,49.4801762658052,131.74350950941266
2001-01-28,1.525480769097041,6.376265997305895,1.8895753265764468,0.08246794878803666,1.2674679486797407,0.5352884613108845,16.222451894329144,10.502548100283512,43.065945495397614,30.39687497044603,111.86436691221435
