ds,y
2001-01-01,0.25712354612547
2001-01-02,0.17055904178567824
2001-01-03,0.21858469665155655
2001-01-04,0.2118169878272002
2001-01-05,0.31730877074229646
2001-01-06,0.18389169224246688
2001-01-07,0.19345095996358222
2001-01-08,0.3356723720052079
2001-01-09,0.36100273131433963
2001-01-10,0.4185622401104278
2001-01-11,0.26407496321799184
2001-01-12,0.3456078927836046
2001-01-13,0.394360641631613
2001-01-14,0.47085420016337304
2001-01-15,0.33742741126374354
2001-01-16,0.23804792784922751
2001-01-17,0.24765574395036322
2001-01-18,0.23993890578802762
2001-01-19,0.33159426818700477
2001-01-20,0.4676693967052315
2001-01-21,0.5405412107104544
2001-01-22,0.48591890556324474
2001-01-23,0.22475282723976936
2001-01-24,0.19028071980190714
2001-01-25,0.17130783223974455
2001-01-26,0.21148200058791816
2001-01-27,0.24979674857222922
2001-01-28,0.11682631935039844
2001-01-29,0.22658069131912006
2001-01-30,0.5315645298506952
2001-01-31,0.5162522250900898
2001-02-01,0.42007696569096475
2001-02-02,0.5447795255984853
2001-02-03,0.43731665875165066
2001-02-04,0.2667014555104346
2001-02-05,0.29144194755564007
2001-02-06,0.2030490661713219
2001-02-07,0.20982648447038682
2001-02-08,0.21523968051304176
2001-02-09,0.24004328538861158
2001-02-10,0.27799877113338417
2001-02-11,0.5987852605071848
2001-02-12,0.5227529148166565
2001-02-13,0.44220795546931
2001-02-14,0.233455207738282
2001-02-15,0.18270710077756797
2001-02-16,0.23289689539790703
2001-02-17,0.30842918650512574
2001-02-18,0.2842081688255006
2001-02-19,0.2142492848551807
2001-02-20,0.4051239211225791
2001-02-21,0.49951258335183407
2001-02-22,0.6359299811477783
2001-02-23,0.5516006367177622
2001-02-24,0.2347247599303084
2001-02-25,0.12325904110186267
2001-02-26,0.24873838272013143
2001-02-27,0.17456545950408475
2001-02-28,0.17925770527268106
2001-03-01,0.3102861802312058
2001-03-02,0.23957018860361612
2001-03-03,0.15389510933649408
2001-03-04,0.17903447750401044
2001-03-05,0.23568515337875323
2001-03-06,0.23749272342613414
2001-03-07,0.245344042286131
2001-03-08,0.15533409756551309
2001-03-09,0.16582608479871289
2001-03-10,0.1431127994384869
2001-03-11,0.1744086978931318
2001-03-12,0.28084245350119885
2001-03-13,0.18532563142378775
2001-03-14,0.3258516195626788
2001-03-15,0.31705612295695845
2001-03-16,0.2079227870054069
2001-03-17,0.14866426241062514
2001-03-18,0.14114113370968195
2001-03-19,0.1969460882909154
2001-03-20,0.2093103526746259
2001-03-21,0.15450184051942134
2001-03-22,0.2554886955822182
2001-03-23,0.4053148786222277
2001-03-24,0.13862879564607244
2001-03-25,0.12128310336132789
2001-03-26,0.20464025444570677
2001-03-27,0.20920020509929238
2001-03-28,0.17407228432409622
2001-03-29,0.14103236826167664
2001-03-30,0.17375671648984412
2001-03-31,0.21161955587433406
2001-04-01,0.1614285466255372
2001-04-02,0.2182201760060936
2001-04-03,0.17556334024061612
2001-04-04,0.17225514163970324
2001-04-05,0.16826058262099994
2001-04-06,0.2854307900370241
2001-04-07,0.1111007920527772
2001-04-08,0.10460536113183236
2001-04-09,0.22893632191354757
2001-04-10,0.22578135321696702
2001-04-11,0.13106924104914658
2001-04-12,0.07143315018876459
2001-04-13,0.059592087187613635
2001-04-14,0.07073890144603838
2001-04-15,0.11782642542976252
2001-04-16,0.26083675572235787
2001-04-17,0.1502182138062399
2001-04-18,0.17369158022033662
2001-04-19,0.22765847523714094
2001-04-20,0.13204638187264356
2001-04-21,0.1423267593844379
2001-04-22,0.15258213798045345
2001-04-23,0.1314522650065479
2001-04-24,0.13843564503089276
2001-04-25,0.14739441884583626
2001-04-26,0.18878172621464023
2001-04-27,0.20362854533383754
2001-04-28,0.15546032448118294
2001-04-29,0.2357356436168564
2001-04-30,0.11874846500890804
2001-05-01,0.10118271631462178
2001-05-02,0.15311250173029292
2001-05-03,0.21244928780345723
2001-05-04,0.1863102018247712
2001-05-05,0.16398821983503217
2001-05-06,0.1265038516626327
2001-05-07,0.15699524442743265
2001-05-08,0.21785685293453833
2001-05-09,0.18932450233083972
2001-05-10,0.23439763692112564
2001-05-11,0.36127596334474504
2001-05-12,0.33657586661454136
2001-05-13,0.09532325946826878
2001-05-14,0.15306706072892126
2001-05-15,0.09858244049134685
2001-05-16,0.164180084951044
2001-05-17,0.16990574183919124
2001-05-18,0.13111871089085708
2001-05-19,0.13472627846598115
2001-05-20,0.12639782105061098
2001-05-21,0.198980867379747
2001-05-22,0.18312928188414015
2001-05-23,0.21240889460178736
2001-05-24,0.19391916490180133
2001-05-25,0.23367561819201227
2001-05-26,0.1699713798646068
2001-05-27,0.12758435485015487
2001-05-28,0.27884216251446353
2001-05-29,0.250372926130376
2001-05-30,0.23808599002307657
2001-05-31,0.25939058233955614
2001-06-01,0.19225801777561125
2001-06-02,0.1387024282507003
2001-06-03,0.15630352025724265
2001-06-04,0.16485666194710435
2001-06-05,0.16852229382421186
2001-06-06,0.1276323206786754
2001-06-07,0.15090857887349382
2001-06-08,0.22394099365662606
2001-06-09,0.08931737895775807
2001-06-10,0.08201136063953118
2001-06-11,0.13334030583545742
2001-06-12,0.17004711633809277
2001-06-13,0.20586276295740263
2001-06-14,0.18542156335638485
2001-06-15,0.14341069549004018
2001-06-16,0.08620714574414978
2001-06-17,0.08878722606034992
2001-06-18,0.10633277812370637
2001-06-19,0.19835730580349364
2001-06-20,0.3543208550702535
2001-06-21,0.3234937009039127
2001-06-22,0.23339034553229582
2001-06-23,0.2951986565643101
2001-06-24,0.23296052192212602
