ds,y
2001-01-01,0.2662943469145493
2001-01-02,0.19112813641218637
2001-01-03,0.259208642575061
2001-01-04,0.2457910237226159
2001-01-05,0.42179448329013297
2001-01-06,0.20144340187146334
2001-01-07,0.20298433288087245
2001-01-08,0.4217365281599303
2001-01-09,0.514646309481323
2001-01-10,0.6127230044263218
2001-01-11,0.3496264052766564
2001-01-12,0.40902916690916813
2001-01-13,0.40552231217993445
2001-01-14,0.4703044835705672
2001-01-15,0.43004518723703455
2001-01-16,0.2906847001502276
2001-01-17,0.33010624198185334
2001-01-18,0.25964458537811486
2001-01-19,0.324546527011829
2001-01-20,0.46076398159915266
2001-01-21,0.45862097428844184
2001-01-22,0.5156881922759942
2001-01-23,0.2701232955025167
2001-01-24,0.22123466299761832
2001-01-25,0.18398703992021517
2001-01-26,0.22494886592786514
2001-01-27,0.2376633111283812
2001-01-28,0.11408818056760191
2001-01-29,0.2434419585979744
2001-01-30,0.6311819715843944
2001-01-31,0.6117867272376399
2001-02-01,0.528300252433172
2001-02-02,0.7660117482369054
2001-02-03,0.4803453215089216
2001-02-04,0.2682758548128296
2001-02-05,0.404374823470304
2001-02-06,0.26940338043099205
2001-02-07,0.2299522190282958
2001-02-08,0.16894220326281525
2001-02-09,0.20715443820909915
2001-02-10,0.238358112393247
2001-02-11,0.4770271382597062
2001-02-12,0.49211704737259054
2001-02-13,0.42345840353739606
2001-02-14,0.24411358027330715
2001-02-15,0.1827287943251986
2001-02-16,0.22645566705360076
2001-02-17,0.3027565015427654
2001-02-18,0.23569802765570008
2001-02-19,0.2063611133957969
2001-02-20,0.38714706076332206
2001-02-21,0.4682181439928845
2001-02-22,0.6839689700292602
2001-02-23,0.6862104992975002
2001-02-24,0.24211223883124894
2001-02-25,0.1007594240918694
2001-02-26,0.229148591746396
2001-02-27,0.18155876976396335
2001-02-28,0.17735518008048173
2001-03-01,0.3078319750783266
2001-03-02,0.2824376064560481
2001-03-03,0.14857070671460207
2001-03-04,0.15827250141321772
2001-03-05,0.26677562065036764
2001-03-06,0.2980923179119956
2001-03-07,0.2862354632809756
2001-03-08,0.16299180424757556
2001-03-09,0.17979297924086232
2001-03-10,0.15298931984571248
2001-03-11,0.18164340007544233
2001-03-12,0.3122296111369733
2001-03-13,0.21071455921382892
2001-03-14,0.3293038754697524
2001-03-15,0.3219513517819143
2001-03-16,0.2406657603436234
2001-03-17,0.1347134895812946
2001-03-18,0.13087884586203988
2001-03-19,0.21718778110316575
2001-03-20,0.2817089643851552
2001-03-21,0.20728708852304345
2001-03-22,0.3184925438709944
2001-03-23,0.46433420861014485
2001-03-24,0.1853380093985204
2001-03-25,0.11704501057903889
2001-03-26,0.22781447012447523
2001-03-27,0.28041022273284116
2001-03-28,0.2208008677319312
2001-03-29,0.17783260151140529
2001-03-30,0.20923965131385436
2001-03-31,0.21950264575675701
2001-04-01,0.2770771205253502
2001-04-02,0.3207332123224907
2001-04-03,0.21181935250845604
2001-04-04,0.248600661424201
2001-04-05,0.21493480408455773
2001-04-06,0.4017224107150125
2001-04-07,0.11619743470720847
2001-04-08,0.09131846387120061
2001-04-09,0.3131127029836117
2001-04-10,0.47311478603369517
2001-04-11,0.26432145422390985
2001-04-12,0.11791829038837058
2001-04-13,0.10859865697595611
2001-04-14,0.13169071557970108
2001-04-15,0.18944565484140258
2001-04-16,0.5986286144614523
2001-04-17,0.2675469236143946
2001-04-18,0.19905634378885356
2001-04-19,0.2574127159228986
2001-04-20,0.14620752746573193
2001-04-21,0.127684101261385
2001-04-22,0.16565401659485507
2001-04-23,0.1856979677812314
2001-04-24,0.19792867823998628
2001-04-25,0.17479106687789472
2001-04-26,0.21376834378854528
2001-04-27,0.264471219349071
2001-04-28,0.16868014884026666
2001-04-29,0.25603044838242417
2001-04-30,0.1320561605496352
2001-05-01,0.08786668791952382
2001-05-02,0.15380634123556533
2001-05-03,0.20281021230496027
2001-05-04,0.19093326692138626
2001-05-05,0.15080813984395608
2001-05-06,0.10642378795828901
2001-05-07,0.23312706412893233
2001-05-08,0.32253398322876986
2001-05-09,0.23348132919760445
2001-05-10,0.5915583627788464
2001-05-11,0.5506122002628839
2001-05-12,0.4198084137884794
2001-05-13,0.1323447973732665
2001-05-14,0.2309987897417057
2001-05-15,0.13555662828824902
2001-05-16,0.2118985716718272
2001-05-17,0.25350639027869937
2001-05-18,0.20738017491004512
2001-05-19,0.17685170169173187
2001-05-20,0.1715886106053477
2001-05-21,0.28402682607912416
2001-05-22,0.2953619943534083
2001-05-23,0.2430511944180061
2001-05-24,0.2620690433744045
2001-05-25,0.26896416719147326
2001-05-26,0.1796429681430292
2001-05-27,0.17010725713470995
2001-05-28,0.28211553016334096
2001-05-29,0.3284419855958587
2001-05-30,0.30040542889482647
2001-05-31,0.421048009120231
2001-06-01,0.292824540054245
2001-06-02,0.18989859512376042
2001-06-03,0.20304393493796366
2001-06-04,0.2671231890383603
2001-06-05,0.3203896353689186
2001-06-06,0.15556159793820748
2001-06-07,0.2064754247829299
2001-06-08,0.303631319193851
2001-06-09,0.13942408552828117
2001-06-10,0.11181144157838432
2001-06-11,0.13685917375359818
2001-06-12,0.24119347580959086
2001-06-13,0.2589395821137722
2001-06-14,0.25956975875903043
2001-06-15,0.2049733095155449
2001-06-16,0.11098973240328307
2001-06-17,0.10878444483008007
2001-06-18,0.1344770882630465
2001-06-19,0.21340537209395571
2001-06-20,0.4530270302737368
2001-06-21,0.40214735808017954
2001-06-22,0.2688898316539075
2001-06-23,0.37450122817820974
2001-06-24,0.21357958797383733
